时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409910357742 214.63202 32.58827 12.424609  88.98655 45.609608 104.797424 0 0
1409910357775 214.95898 32.83371 12.484727  89.20882 45.56474 104.820755 0 0
1409910357886 214.98244 32.860897 12.519662  89.22984 45.5625 104.820885 0 0
1409910357920 214.72824 32.694363 12.469766  89.07287 45.59698 104.79745 0 0
1409910357960 214.80917 32.742527 12.466433  89.11901 45.582733 104.80568 0 0
1409910358013 215.14325 32.971966 12.564297  89.3341 45.54776 104.83487 0 0
1409910358134 215.38925 33.168217 12.558294  89.50057 45.49914 104.85328 0 0
1409910358183 215.77864 33.50853 12.60707  89.7859 45.434376 104.87518 0 0
1409910358254 215.91783 33.683983 12.380691  89.89759 45.362267 104.87841 0 0
1409910358320 216.23935 33.935104 12.449375  90.117485 45.315884 104.90443 0 0
1409910358387 216.48946 34.166706 12.476068  90.30624 45.269947 104.91784 0 0
1409910358436 216.89178 34.506107 12.539687  90.59742 45.20435 104.94292 0 0
1409910358542 216.12917 34.075363 12.377344  90.15406 45.287212 104.856224 0 0
1409910358601 214.22847 32.51806 12.247474  88.82965 45.610832 104.72557 0 0
1409910358685 214.56937 32.644764 12.303946  88.99447 45.582474 104.77393 0 0
1409910358763 214.63664 32.691 12.355964  89.041664 45.58242 104.77823 0 0
1409910358855 214.46227 32.61238 12.289961  88.94681 45.588177 104.7568 0 0
1409910358909 214.73816 32.745403 12.337409  89.095924 45.559895 104.79037 0 0
1409910359021 215.0494 32.967697 12.389297  89.29686 45.516823 104.81766 0 0
1409910359068 215.46904 33.29146 12.469232  89.57908 45.456875 104.84828 0 0
1409910359111 215.52939 33.3482 12.493242  89.629456 45.449585 104.84979 0 0
1409910359183 215.59857 33.39979 12.462591  89.6691 45.42943 104.85716 0 0
1409910359260 215.87688 33.61669 12.481731  89.85764 45.382942 104.878174 0 0
1409910359294 216.24796 33.948215 12.499115  90.12502 45.310337 104.90177 0 0
1409910359385 216.45259 34.103386 12.553958  90.265274 45.28479 104.918434 0 0
1409910359427 216.76967 34.407253 12.61207  90.51146 45.2337 104.93247 0 0
1409910359547 215.57664 33.706314 12.36836  89.81199 45.363438 104.7994 0 0
1409910359634 213.72769 32.139557 12.112696  88.485664 45.665703 104.69172 0 0
1409910359648 213.87247 32.14849 12.149921  88.53284 45.663696 104.72138 0 0
1409910359709 213.94615 32.17672 12.198268  88.5709 45.66643 104.72927 0 0
1409910359782 214.05136 32.264168 12.199076  88.64512 45.644478 104.73586 0 0
1409910359864 213.79747 32.049973 12.181797  88.46569 45.693592 104.7224 0 0
